20180201T,30,30,30,30,0
20180202T,15,15,15,15,0
20180203T,40,40,40,40,0
20180204T,24,24,24,24,0
20180205T,11,11,11,11,0
20180206T,8,8,8,8,0
20180207T,36,36,36,36,0
20180208T,30,30,30,30,0
20180209T,44,44,44,44,0
20180210T,54,54,54,54,0
20180211T,31,31,31,31,0
20180212T,42,42,42,42,0
20180213T,35,35,35,35,0
20180214T,55,55,55,55,0
20180215T,71,71,71,71,0
20180216T,67,67,67,67,0
20180217T,74,74,74,74,0
20180218T,63,63,63,63,0
20180219T,67,67,67,67,0
20180220T,74,74,74,74,0
20180221T,54,54,54,54,0
20180222T,44,44,44,44,0
20180223T,39,39,39,39,0
20180224T,31,31,31,31,0
20180225T,33,33,33,33,0
20180226T,37,37,37,37,0
20180227T,44,44,44,44,0
20180228T,41,41,41,41,0
20180301T,38,38,38,38,0
20180302T,47,47,47,47,0
20180303T,56,56,56,56,0
20180304T,44,44,44,44,0
20180305T,55,55,55,55,0
20180306T,59,59,59,59,0
20180307T,37,37,37,37,0
20180308T,39,39,39,39,0
20180309T,37,37,37,37,0
20180310T,39,39,39,39,0
20180311T,40,40,40,40,0
20180312T,41,41,41,41,0
20180313T,41,41,41,41,0
20180314T,40,40,40,40,0
20180315T,32,32,32,32,0
20180316T,33,33,33,33,0
20180317T,31,31,31,31,0
20180318T,29,29,29,29,0
20180319T,29,29,29,29,0
20180320T,37,37,37,37,0
20180321T,36,36,36,36,0
20180322T,36,36,36,36,0
20180323T,28,28,28,28,0
20180324T,32,32,32,32,0
20180325T,30,30,30,30,0
20180326T,31,31,31,31,0
20180327T,24,24,24,24,0
20180328T,24,24,24,24,0
20180329T,18,18,18,18,0
20180330T,12,12,12,12,0
20180331T,16,16,16,16,0
20180401T,16,16,16,16,0
20180402T,11,11,11,11,0
20180403T,22,22,22,22,0
20180404T,22,22,22,22,0
20180405T,17,17,17,17,0
20180406T,19,19,19,19,0
20180407T,20,20,20,20,0
20180408T,17,17,17,17,0
20180409T,21,21,21,21,0
20180410T,18,18,18,18,0
20180411T,20,20,20,20,0
20180412T,18,18,18,18,0
20180413T,23,23,23,23,0
20180417T,26,26,26,26,0
20180418T,24,24,24,24,0
20180419T,25,25,25,25,0
20180420T,26,26,26,26,0
20180421T,32,32,32,32,0
20180422T,31,31,31,31,0
20180423T,28,28,28,28,0
20180424T,29,29,29,29,0
20180425T,64,64,64,64,0
20180426T,47,47,47,47,0
20180427T,55,55,55,55,0
20180428T,54,54,54,54,0
20180429T,61,61,61,61,0
20180430T,59,59,59,59,0
20180501T,56,56,56,56,0
20180502T,52,52,52,52,0
20180503T,55,55,55,55,0
20180504T,56,56,56,56,0
20180505T,63,63,63,63,0
20180506T,67,67,67,67,0
20180507T,56,56,56,56,0
20180508T,62,62,62,62,0
20180509T,53,53,53,53,0
20180510T,63,63,63,63,0
20180511T,41,41,41,41,0
20180512T,44,44,44,44,0
20180513T,40,40,40,40,0
20180514T,40,40,40,40,0
20180515T,40,40,40,40,0
20180516T,32,32,32,32,0
20180517T,31,31,31,31,0
20180518T,37,37,37,37,0
20180519T,31,31,31,31,0
20180520T,32,32,32,32,0
20180521T,41,41,41,41,0
20180522T,30,30,30,30,0
20180523T,26,26,26,26,0
20180524T,27,27,27,27,0
20180525T,25,25,25,25,0
20180526T,23,23,23,23,0
20180527T,19,19,19,19,0
20180528T,22,22,22,22,0
20180529T,16,16,16,16,0
20180530T,38,38,38,38,0
20180531T,25,25,25,25,0
20180601T,24,24,24,24,0
20180602T,27,27,27,27,0
20180603T,40,40,40,40,0
20180604T,41,41,41,41,0
20180605T,26,26,26,26,0
20180606T,42,42,42,42,0
20180607T,38,38,38,38,0
20180608T,40,40,40,40,0
20180609T,39,39,39,39,0
20180610T,24,24,24,24,0
20180611T,15,15,15,15,0
20180612T,19,19,19,19,0
20180613T,19,19,19,19,0
20180614T,17,17,17,17,0
20180615T,26,26,26,26,0
20180616T,22,22,22,22,0
20180617T,23,23,23,23,0
20180618T,27,27,27,27,0
20180619T,32,32,32,32,0
20180620T,34,34,34,34,0
20180621T,37,37,37,37,0
20180622T,28,28,28,28,0
20180623T,17,17,17,17,0
20180624T,15,15,15,15,0
20180625T,16,16,16,16,0
20180626T,21,21,21,21,0
20180627T,18,18,18,18,0
20180628T,20,20,20,20,0
